Date;fer;vac;tourn;tempMoy;tempMax;tempMin;wind;rain;nbPlay;open;nbCov
06/10/2017;0;0;0;10,825;15,32;6,33;5,27;0;14;True;103
07/10/2017;0;0;0;9,785;15,55;4,02;6,11;0;60;True;154
08/10/2017;0;0;0;14,14;16,23;12,05;2,68;0;62;True;176
09/10/2017;0;0;0;13,425;17,4;9,45;3,05;1;0;True;98
10/10/2017;0;0;0;14,565;16,59;12,54;3,47;0;0;False;0
11/10/2017;0;0;0;16,9;20,1;14,8;6,2;0;0;True;123
12/10/2017;0;0;0;17,1;22;14,2;6;0;50;True;140
13/10/2017;0;0;0;17,8;27,3;14;3,7;0;0;True;112
14/10/2017;0;0;0;17,7;25,7;12,8;3,4;0;38;True;201
15/10/2017;0;0;0;18,3;25,2;12,6;5,6;0;0;True;273
16/10/2017;0;0;0;20,2;26;15,3;5,8;0;0;False;0
17/10/2017;0;0;0;18;25;12,6;3,2;0;71;True;159
18/10/2017;0;0;0;16,9;22,3;14,3;4,8;0;0;True;131
19/10/2017;0;0;0;16,8;22,7;13;8,8;1;2;True;146
20/10/2017;0;0;0;14,2;18,9;11,2;8,2;1;33;True;98
21/10/2017;0;1;0;14,3;19,3;10,7;9,5;0;82;True;111
22/10/2017;0;1;0;10,9;16;9,3;8,9;1;55;True;134
23/10/2017;0;1;0;12,4;15,4;10,2;6;1;172;True;99
24/10/2017;0;1;0;16,5;20,6;13,8;5,9;1;0;True;100
25/10/2017;0;1;0;17,2;24,6;14;5,8;0;0;True;99
26/10/2017;0;1;0;15;17,2;13,9;2,2;0;12;True;108
27/10/2017;0;1;0;15;20,8;10,2;4,6;0;0;True;39
28/10/2017;0;1;0;12,1;17,1;8,5;6,9;0;40;True;98
29/10/2017;0;1;0;13,8;16,8;11;7,6;1;12;True;95
30/10/2017;0;1;0;10,2;18,9;6,4;4,6;0;0;False;0
31/10/2017;0;1;0;9,2;18,2;5,2;2,5;0;0;True;74
01/11/2017;1;1;0;9,9;16,2;6,4;2,8;0;2;True;132
02/11/2017;0;1;0;12,1;16,1;9,5;3,9;0;9;True;59
